No.,Name,Type,Address
1,역삼아레나빌딩,일반,"서울특별시 강남구 언주로 425 (역삼동)"
2,논현역사거리,일반,"서울특별시 강남구 강남대로 538 (논현동)"
3,신사역성일빌딩,일반,"서울특별시 강남구 강남대로 584 (논현동)"
4,국기원사거리,일반,"서울특별시 강남구 테헤란로 125 (역삼동)"
5,대치재경빌딩,일반,"서울특별시 강남구 남부순환로 2947 (대치동)"
6,봉은사역,일반,"서울특별시 강남구 봉은사로 619 (삼성동)"
7,압구정윤성빌딩,일반,"서울특별시 강남구 논현로 834 (신사동)"
8,코엑스별마당,일반,"서울특별시 강남구 영동대로 513 (삼성동)"
9,삼성역섬유센터R,R,"서울특별시 강남구 테헤란로 518 (대치동)"
10,압구정R,R,"서울특별시 강남구 언주로 861 (신사동)"
11,수서역R,R,"서울특별시 강남구 광평로 281 (수서동)"
12,양재강남빌딩R,R,"서울특별시 강남구 남부순환로 2621 (도곡동)"
13,선릉동신빌딩R,R,"서울특별시 강남구 테헤란로 409 (삼성동)"
14,봉은사로선정릉,일반,"서울특별시 강남구 봉은사로 446 (삼성동)"
15,강남오거리,일반,"서울특별시 강남구 봉은사로2길 39 (역삼동)"
16,스타필드코엑스몰R,R,"서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호"
17,강남구청정문,일반,"서울특별시 강남구 학동로 419 (청담동)"
18,도곡공원,일반,"서울특별시 강남구 도곡로 205 (역삼동)"
19,강남R,R,"서울특별시 강남구 강남대로 390 (역삼동)"
20,대치은마사거리,일반,"서울특별시 강남구 도곡로 457 (대치동)"
21,청담영동대로,일반,"서울특별시 강남구 영동대로 720 (청담동)"
22,압구정,일반,"서울특별시 강남구 압구정로30길 17 (신사동)"
23,신사가로수,일반,"서울특별시 강남구 가로수길 59"
24,청담스타R,R,"서울특별시 강남구 도산대로57길 24 (청담동)"
25,강남우성,일반,"서울특별시 강남구 강남대로 328 (역삼동)"
26,학동사거리,일반,"서울특별시 강남구 도산대로 328 (논현동)"
27,대치사거리,일반,"서울특별시 강남구 삼성로 402 (대치동)"
28,포스코사거리,일반,"서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩"
29,을지병원사거리,일반,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)"
30,신사역,일반,"서울특별시 강남구 도산대로 108 (논현동) 렉스타워"
31,도곡역,일반,"서울특별시 강남구 남부순환로 2909 (대치동)"
