종목명,종목코드,현재가,전일가,시가,고가,상한가,저가,하한가,거래량
삼성전자,005930,"53,900","54,700","54,200","54,500","71,100","53,800","38,300","8,668,367"
LG에너지솔루션,373220,"269,000","278,000","275,500","276,500","361,000","269,000","195,000","95,426"
SK하이닉스,000660,"201,750","203,000","200,500","203,500","263,500","200,000","142,500","918,459"
삼성바이오로직스,207940,"1,030,000","1,043,000","1,033,000","1,042,000","1,355,000","1,023,000","731,000","33,140"
LG화학,051910,"182,150","187,700","185,800","186,700","244,000","182,000","131,400","139,083"
삼성SDI,006400,"159,800","166,000","164,400","164,600","215,500","159,500","116,200","305,959"
삼성전자우,005935,"44,300","44,800","44,800","44,800","58,200","44,200","31,400","545,878"
현대차,005380,"180,700","181,900","180,700","181,900","236,000","180,300","127,400","253,763"
기아,000270,"87,800","88,100","87,300","88,500","114,500","87,100","61,700","285,240"
NAVER,035420,"183,700","188,000","186,200","186,900","244,000","183,000","131,600","433,764"
POSCO홀딩스,005490,"237,000","241,500","239,000","242,500","313,500","235,500","169,500","109,198"
카카오,035720,"40,650","39,000","38,700","40,700","50,700","38,550","27,300","2,613,376"
셀트리온,068270,"154,500","153,000","156,000","156,500","198,900","154,000","107,100","349,198"
포스코퓨처엠,003670,"98,600","101,900","100,800","100,900","132,400","98,500","71,400","194,621"
현대모비스,012330,"242,000","244,000","242,000","246,000","317,000","240,000","171,000","70,657"
삼성물산,028260,"151,000","152,100","154,000","159,000","197,700","150,800","106,500","691,169"
KB금융,105560,"101,300","102,000","101,000","102,000","132,600","100,400","71,400","661,802"
LG전자,066570,"69,600","71,600","70,800","70,900","93,000","69,500","50,200","278,784"
신한지주,055550,"56,300","56,300","55,800","56,800","73,100","55,700","39,500","478,392"
SK이노베이션,096770,"81,500","83,500","82,700","83,300","108,500","81,400","58,500","125,226"
